,week_start,region,avg_temp,google_trend_score,marketing_spend,store_visits,holiday_flag,sales,quarter
0,02-01-2022,North,16.148358575852352,77.73149608675611,59.47721667489647,171.28794322734367,0,524.6980941846332,2022Q1
1,09-01-2022,North,13.498203299762471,56.721544814626085,42.96159719311022,129.71380989921502,0,478.0797021561399,2022Q1
2,16-01-2022,North,20.15555278628388,63.58310629594982,41.75680843851102,138.38078230910685,1,506.28491756043167,2022Q1
3,23-01-2022,North,18.85293018453661,47.85505460268098,83.28566803136937,140.2178332452034,1,512.2707210246035,2022Q1
4,30-01-2022,North,16.324140042089937,98.69156907,14.112839405835839,168.9597065897888,0,517.4032326,2022Q1
5,06-02-2022,North,14.55132595036374,84.23264286578524,87.29765918809208,154.05328915035793,0,531.8895039829364,2022Q1
6,13-02-2022,North,23.962789787467287,59.433198244351146,29.07244051,130.2343374432612,0,472.5988151289452,2022Q1
7,20-02-2022,North,12.692725142356155,72.59040559788268,63.96908283276565,160.27691249287594,0,479.9309324118789,2022Q1
8,27-02-2022,North,21.844402281611472,94.62656674021113,67.44616466190931,162.09136837694965,0,540.2185769858035,2022Q1
9,06-03-2022,North,12.664905781927303,41.86484841690225,31.518917478806145,136.7807843293899,0,447.7318534589416,2022Q1
10,13-03-2022,North,24.889081814476732,72.60403095497207,72.5958527,154.43801845614004,1,535.3032074983089,2022Q1
11,20-03-2022,North,19.216085256451407,92.03411928148589,37.231451483459786,167.7134308700426,0,564.1994491032326,2022Q1
12,27-03-2022,North,5.689038847260596,86.04221329295396,41.25183192273954,163.03459584583396,0,489.5357268019871,2022Q1
13,03-04-2022,North,13.241096296735176,72.25733617165892,57.731574973072114,187.17790638962572,0,505.06122018210414,2022Q2
14,10-04-2022,North,22.08355313955843,54.57826344118693,31.555159480669378,136.45521839120485,1,528.9512347015487,2022Q2
15,17-04-2022,North,25.766131538825988,74.39588868468358,77.64202584847945,143.57151925182768,0,539.1509844925358,2022Q2
16,24-04-2022,North,17.096647559161735,49.01888677591214,52.46855160062778,146.26494199192294,0,502.23933734725284,2022Q2
17,01-05-2022,North,18.209647541287403,82.74881806093524,32.62807574150992,134.84544986035348,0,502.43949643076724,2022Q2
18,08-05-2022,North,33.6158093,67.69995313725789,40.09009415083896,129.6076830719543,0,526.6632464010572,2022Q2
19,15-05-2022,North,9.790381553092697,60.0589253,54.55565134687869,128.25033767220356,0,457.57280860720397,2022Q2
20,22-05-2022,North,14.691710156372306,76.86123473078715,55.343665566388616,154.67288550434222,0,530.0589017698812,2022Q2
21,29-05-2022,North,10.014647806921133,75.07033988312712,95.17207140638129,186.0451056817218,0,494.57572131099175,2022Q2
22,05-06-2022,North,18.49972861720665,59.66208684303632,69.20389400375502,134.38578181694476,0,502.5018746063454,2022Q2
23,12-06-2022,North,21.518557083136397,77.68635598557405,64.41582269527407,152.14783448206487,0,516.1471141374086,2022Q2
24,19-06-2022,North,17.084805455140376,82.86254877382169,66.75572224,140.51034257506421,1,514.0218734509392,2022Q2
25,26-06-2022,North,18.110463616470163,67.84806655553966,63.54544231685583,165.36723222823966,0,523.3418302746873,2022Q2
26,03-07-2022,North,14.13693026,80.15779098373149,87.44638234641441,163.51378106211527,0,500.86988511706625,2022Q3
27,10-07-2022,North,20.832849443271897,85.00728411643158,51.84305044263196,143.8512934631663,0,517.2837221343617,2022Q3
28,17-07-2022,North,20.7609826,71.58645470541641,66.02017767138585,145.59642605374495,1,541.9663447,2022Q3
29,24-07-2022,North,32.520157001278235,78.50341106,43.16394244633655,145.73962999955756,0,514.0427026467744,2022Q3
30,31-07-2022,North,19.96600138744279,64.25015040601144,36.10223107552728,122.65806110316946,0,481.0594048796719,2022Q3
31,07-08-2022,North,27.734497529151042,79.51360444396434,105.54125682025364,141.0865011746612,0,571.8258124066042,2022Q3
32,14-08-2022,North,19.91989587,76.20031131435468,40.55080232824505,159.29274401312816,0,544.9980510694618,2022Q3
33,21-08-2022,North,28.204202326630803,64.40321215524456,52.586833801185335,184.4780435352069,0,555.6824466395444,2022Q3
34,28-08-2022,North,7.517242564841334,66.35298309389476,48.31462906838076,150.43804688571151,1,491.4394667794961,2022Q3
35,04-09-2022,North,6.390392843752803,75.04598145679378,42.15803596177123,142.6927432671908,0,468.0728858928131,2022Q3
36,11-09-2022,North,19.221572001328116,43.763958487425796,13.821767614222566,100.32091345240516,1,473.50955806792405,2022Q3
37,18-09-2022,North,12.438593909716602,50.41453668938364,25.275344964386022,114.8798392917667,1,441.9243400458301,2022Q3
38,25-09-2022,North,22.93047628420821,59.07731126,4.035151878888254,137.3614421680244,0,507.79650447540297,2022Q3
39,02-10-2022,North,9.948694264381777,52.25101567818371,49.89991308,133.6258462375552,0,455.12216474963236,2022Q4
40,09-10-2022,North,9.076100492939117,100,16.070276504416196,171.23476196414862,0,503.4753412143649,2022Q4
41,16-10-2022,North,24.16950556263025,40.126933202028795,48.81109916241952,121.7064048088988,1,508.75894046907314,2022Q4
42,23-10-2022,North,28.472790431956472,67.73146051761657,33.159406391336454,121.12936984003282,0,520.5081294199632,2022Q4
43,30-10-2022,North,16.59647899972813,93.89472691389197,32.466607763266865,142.4503019900417,0,509.1961981448368,2022Q4
44,06-11-2022,North,32.46903753918457,59.83876498427865,10.793587744581588,126.93116407949417,0,513.2334839641247,2022Q4
45,13-11-2022,North,35.71364624207395,58.185971344616924,80.98738076119457,127.53686430537931,0,522.9070412139764,2022Q4
46,20-11-2022,North,15.239969661174403,66.04891233,37.755675910775636,131.51595255318435,1,503.1301036228407,2022Q4
47,27-11-2022,North,24.19927643597704,62.78127799264741,2.4434724519871835,125.57862151730839,1,505.4332658606517,2022Q4
48,04-12-2022,North,17.729231867028204,77.86913500945764,109.09343504102169,162.01570732805197,0,549.7354133013476,2022Q4
49,11-12-2022,North,21.037272119654045,87.58653673588364,57.08195134878123,166.4462437921629,0,572.6631054836873,2022Q4
50,18-12-2022,North,23.36852409899689,77.00585759093332,70.34719172979358,159.2757193130364,0,534.4176531354433,2022Q4
51,25-12-2022,North,13.923410422168587,61.82443576979363,23.446987167200064,137.25610899783814,0,472.4415497436711,2022Q4
52,01-01-2023,North,11.91138862937361,93.55165933058281,27.500965243342865,171.5048284,0,545.8473984209627,2023Q1
53,08-01-2023,North,19.719404038388976,77.94153267480704,47.52753204799282,147.12509324929897,1,518.7440436955455,2023Q1
54,15-01-2023,North,4.482672618619635,90.84349507922445,89.80163459918593,188.70232994498315,0,513.8980275316903,2023Q1
55,22-01-2023,North,16.16593562,85.65513468053125,58.12561963419616,131.44171448662092,0,517.6265017859081,2023Q1
56,29-01-2023,North,13.961694149041163,81.85890984136219,67.30428046809192,120.57793082153525,0,476.6774756424535,2023Q1
57,05-02-2023,North,14.100854324591545,75.88062834598894,53.19014251543788,145.5752692,0,534.1225579952702,2023Q1
58,12-02-2023,North,27.864792471840616,100,49.77944921779503,163.69560796788835,1,604.5810148029882,2023Q1
59,19-02-2023,North,22.832080265822675,71.35108880472492,59.13971619772059,143.62722160464503,0,544.8848723050016,2023Q1
60,26-02-2023,North,26.20341376290563,66.49445231028993,59.11684980891791,127.42868394709248,0,541.165587,2023Q1
61,05-03-2023,North,21.662396761353577,65.23946822094035,68.02338618777168,149.0175965064439,0,536.4874360751804,2023Q1
